page,hits_count,records_on_page
1,2447,10
2,2424,10
3,2424,10
4,2447,10
5,2424,10
6,2424,10
7,2447,10
8,2447,10
9,2424,10
10,2424,10
11,2447,10
12,2424,10
13,2447,10
14,2447,10
15,2424,10
16,2446,10
17,2447,10
18,2424,10
19,2423,10
20,2447,10
21,2447,10
22,2423,10
23,2447,10
24,2447,10
25,2424,10
26,2424,10
27,2447,10
28,2424,10
29,2424,10
30,2447,10
31,2447,10
32,2447,10
33,2424,10
34,2447,10
35,2424,10
36,2447,10
37,2424,10
38,2447,10
39,2447,10
40,2447,10
41,2424,10
42,2447,10
43,2447,10
44,2447,10
45,2447,10
46,2447,10
47,2447,10
48,2447,10
49,2447,10
50,2447,10
51,2447,10
52,2447,10
53,2424,10
54,2447,10
55,2447,10
56,2447,10
57,2447,10
58,2447,10
59,2447,10
60,2447,10
61,2447,10
62,2424,10
63,2447,10
64,2424,10
65,2447,10
66,2447,10
67,2424,10
68,2447,10
69,2423,10
70,2447,10
71,2447,10
72,2447,10
73,2424,10
74,2447,10
75,2447,10
76,2424,10
77,2447,10
78,2424,10
79,2447,10
80,2424,10
81,2447,10
82,2447,10
83,2447,10
84,2447,10
85,2447,10
86,2447,10
87,2447,10
88,2447,10
89,2424,10
90,2447,10
91,2447,10
92,2424,10
93,2424,10
94,2424,10
95,2447,10
96,2447,10
97,2447,10
98,2423,10
99,2447,10
100,2424,10
101,2447,10
102,2424,10
103,2424,10
104,2424,10
105,2447,10
106,2424,10
107,2447,10
108,2447,10
109,2447,10
110,2447,10
111,2447,10
112,2447,10
113,2447,10
114,2424,10
115,2423,10
116,2447,10
117,2447,10
118,2424,10
119,2447,10
120,2447,10
121,2447,10
122,2424,10
123,2447,10
124,2447,10
125,2424,10
126,2447,10
127,2424,10
128,2424,10
129,2447,10
130,2424,10
131,2447,10
132,2447,10
133,2447,10
134,2447,10
135,2447,10
136,2447,10
137,2447,10
138,2447,10
139,2447,10
140,2424,10
141,2447,10
142,2424,10
143,2447,10
144,2447,10
145,2447,10
146,2447,10
147,2447,10
148,2447,10
149,2447,10
150,2424,10
151,2424,10
152,2424,10
153,2447,10
154,2447,10
155,2447,10
156,2447,10
157,2447,10
158,2447,10
159,2447,10
160,2424,10
161,2423,10
162,2447,10
163,2447,10
164,2424,10
165,2424,10
166,2447,10
167,2447,10
168,2447,10
169,2447,10
170,2447,10
171,2447,10
172,2424,10
173,2447,10
174,2447,10
175,2447,10
176,2447,10
177,2447,10
178,2447,10
179,2447,10
180,2424,10
181,2424,10
182,2447,10
183,2447,10
184,2447,10
185,2447,10
186,2447,10
187,2447,10
188,2424,10
189,2447,10
190,2424,10
191,2447,10
192,2447,10
193,2447,10
194,2424,10
195,2447,10
196,2447,10
197,2447,10
198,2447,10
199,2447,10
200,2424,10
201,2447,10
202,2447,10
203,2447,10
204,2424,10
205,2447,10
206,2447,10
207,2424,10
208,2424,10
209,2424,10
210,2447,10
211,2447,10
212,2424,10
213,2424,10
214,2424,10
215,2424,10
216,2447,10
217,2424,10
218,2447,10
219,2447,10
220,2447,10
221,2424,10
222,2447,10
223,2447,10
224,2447,10
225,2447,10
226,2424,10
227,2447,10
228,2447,10
229,2447,10
230,2424,10
231,2447,10
232,2447,10
233,2447,10
234,2424,10
235,2447,10
236,2447,10
237,2447,10
238,2424,10
239,2447,10
240,2424,10
241,2423,10
242,2447,10
243,2447,10
244,2447,10
245,2447,7
246,0,0
